task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
91	e3/63a8b5	2442025	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR10017654)	CACHED	0	2025-06-04 16:58:50.987	8s	7s	33.8%	8.7 MB	16.9 MB	256.4 MB	127.5 MB
82	ff/aa6c48	2458417	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR32579588)	CACHED	0	2025-06-04 17:00:13.774	1m 23s	1m 22s	41.1%	8.7 MB	16.9 MB	3.3 GB	1.7 GB
99	97/dc2d46	2460250	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR16126677)	CACHED	0	2025-06-04 17:00:20.494	4.2s	4s	14.0%	51.7 MB	100.2 MB	12.3 MB	5.6 MB
101	53/94e1a8	2458176	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (ERR14376447)	CACHED	0	2025-06-04 17:00:12.708	7.8s	7s	26.6%	108.5 MB	171.8 MB	105.4 MB	52 MB
100	fd/98379f	2460863	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (ERR5400142)	CACHED	0	2025-06-04 17:00:24.666	5.4s	4s	14.6%	98.2 MB	188.9 MB	27.6 MB	12.7 MB
92	5c/afd563	2456019	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR31926596)	CACHED	0	2025-06-04 17:00:03.883	40.8s	40s	47.3%	8.7 MB	16.9 MB	1.9 GB	980.9 MB
98	e1/0a0ba6	2454053	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (ERR10010326)	CACHED	0	2025-06-04 16:59:57.584	6.3s	5s	27.6%	192.9 MB	472.4 MB	68.2 MB	28 MB
89	2b/9f04cc	2466111	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX13440217_SRR17262066)	CACHED	0	2025-06-04 17:01:01.338	13.5s	13s	412.3%	74.1 MB	923.1 MB	1.1 GB	1.1 GB
111	3f/b64bbb	2477457	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX27315411_SRR31960004)	CACHED	0	2025-06-04 17:02:19.317	6.9s	7s	417.9%	197.1 MB	1008.6 MB	758 MB	760.4 MB
102	7b/c0ec83	2448687	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_PREFETCH (SRR23318345)	CACHED	0	2025-06-04 16:59:26.459	6.2s	6s	32.1%	8.5 MB	16.8 MB	102.2 MB	50.5 MB
96	38/26c5a9	2482138	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX21588694_SRR25867284)	CACHED	0	2025-06-04 17:02:48.940	5.4s	5s	469.5%	183.3 MB	1010.7 MB	446 MB	452.4 MB
86	25/4c90d9	2483452	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX6755149_SRR10017190)	CACHED	0	2025-06-04 17:02:58.904	26.6s	26s	467.8%	64.1 MB	923.1 MB	2.4 GB	2.5 GB
104	05/76a24a	2523855	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX19467387_SRR23580682)	CACHED	0	2025-06-04 17:14:24.983	11.8s	10s	384.0%	71.2 MB	923.7 MB	812.4 MB	829 MB
94	72/d80f67	2474831	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX24583791_SRR29059102)	CACHED	0	2025-06-04 17:02:02.532	2.6s	1s	264.1%	10.5 MB	474.9 MB	80.5 MB	78.8 MB
105	96/7d2739	2502637	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX26211983_SRR30811281)	CACHED	0	2025-06-04 17:06:10.339	11.7s	10s	412.5%	198 MB	1 GB	1.2 GB	1.2 GB
106	f8/011a4f	2486745	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX1617782_SRR3209113)	CACHED	0	2025-06-04 17:03:25.548	2m 45s	2m 44s	453.0%	67.2 MB	923.1 MB	16.5 GB	17.1 GB
88	56/cfe524	2476779	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX13821392_SRR17653168)	CACHED	0	2025-06-04 17:02:15.187	4.1s	3s	422.2%	8.5 MB	474.9 MB	256.8 MB	263.6 MB
112	a9/3715b1	2504481	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX17527367_SRR21524979)	CACHED	0	2025-06-04 17:06:22.119	7.5s	7s	412.0%	184.4 MB	1000.9 MB	1.9 GB	1.9 GB
83	fa/d8d9b5	2469496	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX24653055_SRR29129354)	CACHED	0	2025-06-04 17:01:22.221	16.1s	16s	490.6%	217 MB	996.1 MB	2.1 GB	2.2 GB
95	27/8f6d1e	2475463	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX20230124_SRR24442882)	CACHED	0	2025-06-04 17:02:05.152	10s	9s	429.4%	69.8 MB	923.1 MB	910.5 MB	932.5 MB
108	35/042572	2478514	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX13440143_SRR17261992)	CACHED	0	2025-06-04 17:02:26.236	12.4s	12s	418.0%	67.8 MB	923.1 MB	1 GB	1 GB
109	3e/a51deb	2524612	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (ERX5701202_ERR6062334)	CACHED	0	2025-06-04 17:14:36.827	7.9s	7s	40.9%	34.3 MB	647.8 MB	96.8 MB	82.3 MB
87	85/50384c	2468120	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX27181532_SRR31821236)	CACHED	0	2025-06-04 17:01:14.813	7.4s	7s	399.9%	191.6 MB	1 GB	757.4 MB	759.5 MB
97	24/895f73	2463626	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX13440223_SRR17262072)	CACHED	0	2025-06-04 17:00:44.780	16.5s	16s	426.0%	67 MB	987.1 MB	1.4 GB	1.4 GB
121	72/b3ee39	2525933	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (ERX13777354_ERR14376447)	CACHED	0	2025-06-04 17:14:53.097	10.5s	10s	184.6%	91.1 MB	915.6 MB	750.8 MB	745 MB
90	a3/4a174d	2473962	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX18766827_SRR22807071)	CACHED	0	2025-06-04 17:01:55.616	4.9s	3s	395.7%	58.6 MB	987.1 MB	258.4 MB	264.3 MB
84	46/80f659	2525315	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX18766849_SRR22807049)	CACHED	0	2025-06-04 17:14:44.747	8.3s	7s	429.6%	66.2 MB	987.1 MB	671.7 MB	691.6 MB
126	3c/346356	2527782	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX27284000_SRR31926596)	CACHED	0	2025-06-04 17:15:14.134	1m 41s	1m 41s	498.0%	73.3 MB	923.1 MB	13.7 GB	13.8 GB
118	3b/63a7ac	2532528	NFCORE_FETCHNGS:SRA:FASTQ_DOWNLOAD_PREFETCH_FASTERQDUMP_SRATOOLS:SRATOOLS_FASTERQDUMP (SRX27887901_SRR32579588)	CACHED	0	2025-06-04 17:19:15.699	3m 9s	3m 7s	520.3%	75.4 MB	923.1 MB	22.4 GB	22.7 GB
