# id: 'blast'
# section_name: 'CLUSTER: Blast'
# format: 'tsv'
# description: 'Overview of the identified clusters and their associated best hits in the provided reference pool'
# plot_type: 'table'
"(annotation) query"	"(annotation) name"	"(annotation) level"	"(annotation) typing"	"(annotation) species"	"(annotation) taxid"	"(annotation) acronym"	"(annotation) acid"	"(annotation) circular"	"(annotation) segment"	"(annotation) host"	"sample"	"cluster"	"step"
"Daenerys-reference_cl2_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-reference"	"cl2"	"it2"
"Daenerys-virosaurus_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-virosaurus"	"cl0"	"itvariant-calling"
"Daenerys-MN090277-MZ766668_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277-MZ766668"	"cl1"	"it2"
"Daenerys-virosaurus_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-virosaurus"	"cl0"	"it1"
"Tyrion-virosaurus_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-virosaurus"	"cl1"	"it2"
"Tyrion-virosaurus_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-virosaurus"	"cl1"	"it1"
"Tyrion-virosaurus_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-virosaurus"	"cl1"	"itvariant-calling"
"Tyrion-reference_cl2_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-reference"	"cl2"	"it2"
"Jorah-MN090277_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MN090277"	"cl1"	"it1"
"Jorah-MZ766668_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MZ766668"	"cl0"	"it1"
"Jorah-virosaurus_cl4_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-virosaurus"	"cl4"	"itvariant-calling"
"Jaime-MN090277_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277"	"cl0"	"it2"
"Jorah-virosaurus_cl4_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-virosaurus"	"cl4"	"it1"
"Jaime-MN090277_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277"	"cl1"	"itvariant-calling"
"Jorah-MN090277_cl1_consensus_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MN090277"	"cl1"	"consensus"
"Jaime-MN090277_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277"	"cl0"	"it1"
"Tyrion-MN090277_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277"	"cl1"	"itvariant-calling"
"Daenerys-MN090277-MZ766668_cl1_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277-MZ766668"	"cl1"	"consensus"
"Jaime-MN090277_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277"	"cl0"	"itvariant-calling"
"Jaime-MN090277-MZ766668_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277-MZ766668"	"cl0"	"it1"
"Tyrion-MN090277_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277"	"cl1"	"it1"
"Jorah-virosaurus_cl4_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-virosaurus"	"cl4"	"it2"
"Jaime-MZ766668_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MZ766668"	"cl1"	"it2"
"Jaime-reference_cl2_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-reference"	"cl2"	"it2"
"Jorah-MN090277-MZ766668_cl1_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MN090277-MZ766668"	"cl1"	"consensus"
"Jorah-MN090277-MZ766668_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MN090277-MZ766668"	"cl1"	"it1"
"Jorah-virosaurus_cl4_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-virosaurus"	"cl4"	"consensus"
"Tyrion-MN090277-MZ766668_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277-MZ766668"	"cl1"	"it1"
"Jaime-MZ766668_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MZ766668"	"cl1"	"itvariant-calling"
"Jorah-reference_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-reference"	"cl0"	"consensus"
"Jaime-virosaurus_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-virosaurus"	"cl1"	"itvariant-calling"
"Jorah-reference_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-reference"	"cl0"	"it1"
"Jorah-MN090277-MZ766668_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MN090277-MZ766668"	"cl1"	"itvariant-calling"
"Jaime-MN090277-MZ766668_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277-MZ766668"	"cl0"	"it2"
"Jaime-virosaurus_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-virosaurus"	"cl1"	"it2"
"Jaime-virosaurus_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-virosaurus"	"cl0"	"itvariant-calling"
"Jorah-MZ766668_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MZ766668"	"cl0"	"it2"
"Daenerys-MZ766668_cl1_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MZ766668"	"cl1"	"consensus"
"Daenerys-reference_cl2_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-reference"	"cl2"	"consensus"
"Tyrion-MN090277_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277"	"cl1"	"it2"
"Tyrion-MZ766668_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MZ766668"	"cl1"	"it1"
"Jaime-reference_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-reference"	"cl1"	"it1"
"Tyrion-MZ766668_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MZ766668"	"cl1"	"itvariant-calling"
"Jorah-MZ766668_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MZ766668"	"cl0"	"itvariant-calling"
"Jaime-virosaurus_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-virosaurus"	"cl0"	"it2"
"Jorah-MN090277-MZ766668_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MN090277-MZ766668"	"cl1"	"it2"
"Jaime-virosaurus_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-virosaurus"	"cl1"	"it1"
"Jaime-reference_cl2_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-reference"	"cl2"	"itvariant-calling"
"Jaime-MZ766668_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MZ766668"	"cl0"	"it1"
"Jaime-MN090277_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277"	"cl1"	"it1"
"Jaime-MN090277-MZ766668_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277-MZ766668"	"cl1"	"it2"
"Jorah-MN090277_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MN090277"	"cl1"	"itvariant-calling"
"Jorah-MZ766668_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MZ766668"	"cl0"	"consensus"
"Tyrion-MZ766668_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MZ766668"	"cl1"	"it2"
"Tyrion-reference_cl2_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-reference"	"cl2"	"it1"
"Jorah-reference_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-reference"	"cl0"	"it2"
"Jaime-MN090277_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277"	"cl1"	"it2"
"Jorah-MN090277_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-MN090277"	"cl1"	"it2"
"Jaime-reference_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-reference"	"cl1"	"it2"
"Jorah-reference_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jorah-reference"	"cl0"	"itvariant-calling"
"Jaime-MN090277-MZ766668_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277-MZ766668"	"cl1"	"it1"
"Jaime-MZ766668_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MZ766668"	"cl0"	"itvariant-calling"
"Jaime-MN090277-MZ766668_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277-MZ766668"	"cl0"	"itvariant-calling"
"Jaime-MZ766668_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MZ766668"	"cl0"	"it2"
"Jaime-reference_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-reference"	"cl1"	"itvariant-calling"
"Tyrion-MN090277-MZ766668_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277-MZ766668"	"cl1"	"itvariant-calling"
"Jaime-reference_cl2_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-reference"	"cl2"	"it1"
"Jaime-virosaurus_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-virosaurus"	"cl0"	"it1"
"Jaime-MN090277-MZ766668_cl1_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277-MZ766668"	"cl1"	"itvariant-calling"
"Jaime-MZ766668_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MZ766668"	"cl1"	"it1"
"Tyrion-reference_cl2_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-reference"	"cl2"	"itvariant-calling"
"Tyrion-MN090277-MZ766668_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-MN090277-MZ766668"	"cl1"	"it2"
"Daenerys-virosaurus_cl3_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-virosaurus"	"cl3"	"consensus"
"Jaime-virosaurus_cl21_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-virosaurus"	"cl21"	"it2"
"Jaime-virosaurus_cl21_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-virosaurus"	"cl21"	"itvariant-calling"
"Jaime-virosaurus_cl21_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-virosaurus"	"cl21"	"it1"
"Daenerys-MZ766668_cl0_consensus_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MZ766668"	"cl0"	"consensus"
"Daenerys-MN090277-MZ766668_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277-MZ766668"	"cl0"	"consensus"
"Jaime-virosaurus_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-virosaurus"	"cl0"	"consensus"
"Jaime-MN090277_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277"	"cl0"	"consensus"
"Sansa-virosaurus_cl4_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Sansa-virosaurus"	"cl4"	"consensus"
"Jaime-MN090277_cl1_consensus_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jaime-MN090277"	"cl1"	"consensus"
"Tyrion-virosaurus_cl1_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Tyrion-virosaurus"	"cl1"	"consensus"
"Catelyn-reference_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-reference"	"cl0"	"itvariant-calling"
"Catelyn-reference_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-reference"	"cl0"	"it2"
"Robb-reference_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-reference"	"cl0"	"itvariant-calling"
"Catelyn-reference_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-reference"	"cl0"	"it1"
"Robb-reference_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-reference"	"cl0"	"it2"
"Robb-reference_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-reference"	"cl0"	"it1"
"Robb-reference_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-reference"	"cl0"	"consensus"
"Robb-MN090188_cl0_consensus_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-MN090188"	"cl0"	"consensus"
"Robb-MN090277_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-MN090277"	"cl0"	"consensus"
"Robb-MN090277-MN090188_cl0_consensus_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-MN090277-MN090188"	"cl0"	"consensus"
"Catelyn-reference_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-reference"	"cl0"	"consensus"
"Jon-reference_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-reference"	"cl0"	"it2"
