# id: 'blast'
# section_name: 'CLUSTER: Blast'
# format: 'tsv'
# description: 'Overview of the identified clusters and their associated best hits in the provided reference pool'
# plot_type: 'table'
"(annotation) query"	"(annotation) name"	"(annotation) level"	"(annotation) typing"	"(annotation) species"	"(annotation) taxid"	"(annotation) acronym"	"(annotation) acid"	"(annotation) circular"	"(annotation) segment"	"(annotation) host"	"sample"	"cluster"	"step"
"Bran-MN090277_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090277"	"cl0"	"consensus"
"Robb-MN090277-MN090188_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-MN090277-MN090188"	"cl0"	"it1"
"Rickon-virosaurus_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-virosaurus"	"cl0"	"it1"
"Catelyn-MN090277_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-MN090277"	"cl0"	"it1"
"Jon-virosaurus_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-virosaurus"	"cl0"	"it2"
"Bran-reference_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-reference"	"cl0"	"itvariant-calling"
"Rickon-virosaurus_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-virosaurus"	"cl0"	"it2"
"Bran-MN090277-MN090188_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090277-MN090188"	"cl0"	"it2"
"Daenerys-MN090277_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277"	"cl0"	"itvariant-calling"
"Jon-reference_cl1_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-reference"	"cl1"	"it2"
"Rickon-MN090188_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-MN090188"	"cl0"	"consensus"
"Rickon-MN090277_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-MN090277"	"cl0"	"it1"
"Catelyn-MN090277-MN090188_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Catelyn-MN090277-MN090188"	"cl0"	"itvariant-calling"
"Sansa-MN090240_cl0_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Sansa-MN090240"	"cl0"	"consensus"
"Robb-virosaurus_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-virosaurus"	"cl0"	"it1"
"Bran-MN090240_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090240"	"cl0"	"it2"
"Eddard-MN090277-MN090188_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-MN090277-MN090188"	"cl0"	"it1"
"Rickon-reference_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-reference"	"cl0"	"it2"
"Jon-reference_cl3_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-reference"	"cl3"	"it2"
"Daenerys-virosaurus_cl15_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-virosaurus"	"cl15"	"itvariant-calling"
"Jon-virosaurus_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-virosaurus"	"cl0"	"itvariant-calling"
"Daenerys-reference_cl1_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-reference"	"cl1"	"it1"
"Robb-MN090188_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-MN090188"	"cl0"	"it1"
"Robb-MN090188_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-MN090188"	"cl0"	"it2"
"Daenerys-MN090277-MZ766668_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Daenerys-MN090277-MZ766668"	"cl0"	"it1"
"Rickon-MN090277_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Rickon-MN090277"	"cl0"	"it2"
"Bran-virosaurus_cl0_it1.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-virosaurus"	"cl0"	"it1"
"Bran-MN090188_cl0_consensus_consensus"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Bran-MN090188"	"cl0"	"consensus"
"Eddard-MN090277-MN090188_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-MN090277-MN090188"	"cl0"	"it2"
"Jon-MN090277_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Jon-MN090277"	"cl0"	"itvariant-calling"
"Eddard-MN090277_cl0_itvariant-calling.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Eddard-MN090277"	"cl0"	"itvariant-calling"
"Robb-MN090277_cl0_it2.consensus_ivar"	"Human immunodeficiency virus 1"	"SPECIES"	"unknown"	"Human immunodeficiency virus 1"	"11676"	"HIV-1"	"DNA/RNA"	"N"	"N/A"	"Human,Vertebrate"	"Robb-MN090277"	"cl0"	"it2"
